DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up
01M015,P.S. 015 Roberto Clemente,184,67,36.4%,31,23,8,35
01M019,P.S. 019 Asher Levy,258,35,13.6%,20,s,s,15
01M020,P.S. 020 Anna Silver,497,73,14.7%,36,24,12,34
01M034,P.S. 034 Franklin D. Roosevelt,316,76,24.1%,50,40,10,26
01M063,The STAR Academy - P.S.63,239,60,25.1%,21,s,s,38
01M064,P.S. 064 Robert Simon,235,49,20.9%,20,s,s,29
01M110,P.S. 110 Florence Nightingale,368,49,13.3%,14,s,s,34
01M134,P.S. 134 Henrietta Szold,301,61,20.3%,36,27,9,21
01M140,P.S. 140 Nathan Straus,388,81,20.9%,27,19,8,52
01M142,P.S. 142 Amalia Castro,356,97,27.2%,33,s,s,60
01M184,P.S. 184m Shuang Wen,690,90,13.0%,s,s,s,84
01M188,P.S. 188 The Island School,436,172,39.4%,102,83,19,64
01M292,Orchard Collegiate Academy,198,24,12.1%,10,s,s,10
01M315,The East Village Community School,342,10,2.9%,s,s,s,6
01M332,University Neighborhood Middle School,214,33,15.4%,11,s,s,20
01M361,The Children's Workshop School,326,31,9.5%,10,s,s,20
01M363,Neighborhood School,307,8,2.6%,s,s,s,s
01M364,Earth School,353,51,14.4%,9,s,s,40
01M378,School for Global Leaders,275,38,13.8%,19,13,6,13
01M448,University Neighborhood High School,496,55,11.1%,12,6,6,41
01M450,East Side Community School,677,56,8.3%,13,7,6,41
01M458,Forsyth Satellite Academy,228,28,12.3%,17,8,9,s
01M509,Marta Valle High School,125,6,4.8%,6,s,s,s
01M515,Lower East Side Preparatory High School,659,97,14.7%,18,s,s,73
01M539,"New Explorations into Science, Technology and Math",1772,10,0.6%,s,s,s,10
01M650,Cascades High School,235,29,12.3%,20,9,11,6
01M696,Bard High School Early College,613,12,2.0%,s,s,s,8
01M700,Universal Pre-K C.B.O.,298,31,10.4%,18,s,s,13
01M839,Tompkins Square Middle School,363,23,6.3%,s,s,s,14
02M001,P.S. 001 Alfred E. Smith,305,11,3.6%,7,s,s,s
02M002,P.S. 002 Meyer London,503,96,19.1%,30,s,s,66
02M003,P.S. 003 Charrette School,746,6,0.8%,s,s,s,6
02M011,P.S. 011 William T. Harris,921,57,6.2%,27,21,6,28
02M033,P.S. 033 Chelsea Prep,647,100,15.5%,71,64,7,28
02M040,P.S. 040 Augustus Saint-Gaudens,756,8,1.1%,s,s,s,8
02M042,P.S. 042 Benjamin Altman,580,21,3.6%,s,s,s,17
02M047,47 The American Sign Language and English Secondar,198,20,10.1%,14,7,7,6
02M051,P.S. 051 Elias Howe,520,103,19.8%,58,s,s,43
02M059,P.S. 059 Beekman Hill International,619,8,1.3%,s,s,s,s
02M104,J.H.S. 104 Simon Baruch,1147,60,5.2%,24,17,7,33
02M111,P.S. 111 Adolph S. Ochs,440,82,18.6%,66,s,s,16
02M116,P.S. 116 Mary Lindley Murray,523,58,11.1%,44,s,s,13
02M124,P.S. 124 Yung Wing,675,35,5.2%,s,s,s,30
02M126,P.S. 126 Jacob August Riis,725,175,24.1%,10,s,s,165
02M130,P.S. 130 Hernando De Soto,872,8,0.9%,s,s,s,6
02M131,M.S. 131,410,64,15.6%,7,s,s,56
02M135,The Urban Assembly School for Emergency Management,264,35,13.3%,15,8,7,11
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,400,25,6.3%,16,9,7,8
02M151,Yorkville Community School,500,39,7.8%,s,s,s,28
02M158,P.S. 158 Bayard Taylor,816,9,1.1%,s,s,s,6
02M167,J.H.S. 167 Robert F. Wagner,1405,48,3.4%,9,s,s,34
02M177,Yorkville East Middle School,233,6,2.6%,s,s,s,s
02M198,P.S. 198 Isador E. Ida Straus,499,11,2.2%,6,s,s,s
02M212,P.S. 212 Midtown West,368,10,2.7%,s,s,s,s
