SITE ID,STATUS,PPT ID,ADDRESS,BOROUGH,LATITUDE,LONGITUDE,WIFI STATUS,TABLET STATUS,PHONE STATUS,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,LOCATION,POSTCODE,PPT ID
bk-01-145988,Live,145988,561 METROPOLITAN AVENUE,Brooklyn,40.71412964,-73.95028299,up,up,up,LORIMER STREET,UNION AVENUE,MIDBLOCK,301,34,3050100,East Williamsburg,3027560036,3068656,"(40.71412964, -73.95028299)",11211,145988
bx-05-119575,Live,119575,2437 GRAND CONCOURSE,Bronx,40.861349,-73.898023,up,down,up,EAST 188 STREET,EAST 184 STREET,SW,205,14,2023703,Fordham South,2031650034,2013798,"(40.861349, -73.898023)",10468,119575
mn-04-107960,Live,107960,568 6 AVENUE,Manhattan,40.73900997,-73.99578645,null,down,up,WEST 16 STREET,WEST 17 STREET,SW,104,3,1008100,Hudson Yards-Chelsea-Flatiron-Union Square,1007920036,1014581,"(40.73900997, -73.99578645)",10011,107960
mn-05-121576,Live,121576,100 EAST 34 STREET,Manhattan,40.74688075,-73.9810645,null,down,up,PARK AVENUE,LEXINGTON AVENUE,SE,105,2,1007200,Murray Hill-Kips Bay,1008897501,1087537,"(40.74688075, -73.9810645)",10016,121576
bk-01-125268,Live,125268,183 CALYER STREET,Brooklyn,40.728133,-73.953439,up,up,up,MANHATTAN AVENUE,LORIMER STREET,NW,301,33,3056100,Greenpoint,3025730019,3065107,"(40.728133, -73.953439)",11222,125268
bk-01-145995,Live,145995,29 SOUTH 3 STREET,Brooklyn,40.71391386,-73.96693042,up,up,up,KENT AVENUE,WYTHE AVENUE,NE,301,33,3055100,North Side-South Side,3024157501,3395339,"(40.71391386, -73.96693042)",11249,145995
mn-05-134736,Live,134736,777 7 AVENUE,Manhattan,40.76114197,-73.98309028,null,down,up,WEST 50 STREET,WEST 51 STREET,NE,105,4,1013100,Midtown-Midtown South,1010037501,1022710,"(40.76114197, -73.98309028)",10019,134736
bk-01-145996,Live,145996,79 GRAND STREET,Brooklyn,40.71573175,-73.96424309,up,up,up,WHYTE AVENUE,BERRY STREET,NE,301,34,3055500,North Side-South Side,3023797501,3424060,"(40.71573175, -73.96424309)",11249,145996
mn-09-120419,Live,120419,572 WEST 139 STREET,Manhattan,40.822495,-73.953007,up,up,up,BROADWAY,HAMILTON PLACE,SE,109,7,1022500,Hamilton Heights,1020700001,1061709,"(40.822495, -73.953007)",10031,120419
bk-01-125630,Live,125630,61 GRAHAM AVENUE,Brooklyn,40.703654,-73.942682,up,up,up,MOORE STREET,VARET STREET,SW,301,34,3049100,East Williamsburg,3031050020,3071502,"(40.703654, -73.942682)",11206,125630
bk-01-126207,Live,126207,268 BROADWAY,Brooklyn,40.70877985,-73.95918257,up,up,up,HAVEMEYER STREET,MARCY AVENUE,SE,301,33,3052500,North Side-South Side,3021410001,3334852,"(40.70877985, -73.95918257)",11211,126207
bk-01-126657,Live,126657,46 GRAHAM AVENUE,Brooklyn,40.702247,-73.942287,up,up,up,COOK STREET,DEBEVOISE STREET,SE,301,34,3049100,East Williamsburg,3031200008,3071613,"(40.702247, -73.942287)",11206,126657
bk-01-126659,Live,126659,2 GRAHAM AVENUE,Brooklyn,40.70099,-73.94209,up,up,up,FLUSHING AVENUE,DEBEVOISE STREET,SE,301,34,3049100,East Williamsburg,3031270001,3326061,"(40.70099, -73.94209)",11206,126659
bk-01-126669,Live,126669,45 GRAHAM AVENUE,Brooklyn,40.702936,-73.942563,up,up,up,VARET STREET,COOK STREET,SW,301,34,3049100,East Williamsburg,3031130017,3071557,"(40.702936, -73.942563)",11206,126669
bk-01-126673,Live,126673,202 GRAHAM AVENUE,Brooklyn,40.70892202,-73.94338965,up,up,up,SCHOLES STREET,STAGG STREET,NE,301,34,3049300,Bushwick South,3030260001,3344974,"(40.70892202, -73.94338965)",11206,126673
bk-01-145859,Live,145859,475 MANHATTAN AVENUE,Brooklyn,40.720111,-73.947627,up,up,up,ECKFORD STREET,NEWTON STREET,MIDBLOCK,301,33,3049900,Greenpoint,3027120001,3067788,"(40.720111, -73.947627)",11222,145859
bk-01-145861,Live,145861,1049 MANHATTAN AVENUE,Brooklyn,40.734684,-73.955096,up,up,up,FREEMAN STREET,EAGLE STREET,NW,301,33,3056300,Greenpoint,3025040043,3063924,"(40.734684, -73.955096)",11222,145861
bk-01-145863,Live,145863,984 MANHATTAN AVENUE,Brooklyn,40.732735,-73.954581,up,up,up,HURON STREET,INDIA STREET,SE,301,33,3057500,Greenpoint,3025330005,3064316,"(40.732735, -73.954581)",11222,145863
bk-01-145864,Live,145864,1133 MANHATTAN AVENUE,Brooklyn,40.73691349,-73.95545319,up,up,up,BOX STREET,CLAY STREET,MIDBLOCK,301,33,3056300,Greenpoint,3024820026,3063701,"(40.73691349, -73.95545319)",11222,145864
bk-01-145892,Live,145892,145 MONTROSE AVENUE,Brooklyn,40.707379,-73.943399,up,up,up,MANHATTAN AVENUE,GRAHAM AVENUE,NW,301,34,3050500,East Williamsburg,3030520026,3071122,"(40.707379, -73.943399)",11206,145892
bk-01-145997,Live,145997,500 GRAND STREET,Brooklyn,40.71086983,-73.95131072,up,up,up,UNION AVENUE,HOOPER STREET,SW,301,34,3051300,North Side-South Side,3024000008,3062881,"(40.71086983, -73.95131072)",11211,145997
bk-01-145998,Live,145998,7 NASSAU AVENUE,Brooklyn,40.72253263,-73.95468869,up,up,up,NORTH 14 STREET,BANKER STREET,NE,301,33,3056900,Greenpoint,3026390007,3337774,"(40.72253263, -73.95468869)",11222,145998
bk-01-145999,Live,145999,31 NASSAU AVENUE,Brooklyn,40.7230135,-73.95323355,up,up,up,DOBBIN STREET,GUERNSEY STREET,MIDBLOCK,301,33,3056900,Greenpoint,3026430029,3065960,"(40.7230135, -73.95323355)",11222,145999
bk-01-146000,Live,146000,101 NORTH 5 STREET,Brooklyn,40.71765823,-73.96030116,up,up,up,BERRY STREET,WYTHE AVENUE,NW,301,33,3055500,North Side-South Side,3023347501,3062172,"(40.71765823, -73.96030116)",11249,146000
bk-01-146001,Live,146001,185 BERRY STREET,Brooklyn,40.71684975,-73.96084076,up,up,up,NORTH 4 STREET,NORTH 3 STREET,SW,301,34,3055300,North Side-South Side,3023510006,3062367,"(40.71684975, -73.96084076)",11249,146001
bk-01-146002,Live,146002,203 BERRY STREET,Brooklyn,40.71643057,-73.96128653,up,up,up,NORTH 3 STREET,NORTH 4 STREET,SE,301,34,3055300,North Side-South Side,3023517501,3398167,"(40.71643057, -73.96128653)",11249,146002
bk-01-146006,Live,146006,175 GRAND STREET,Brooklyn,40.71449771,-73.9610955,up,up,up,BEDFORD AVENUE,DRIGGS AVENUE,NE,301,34,3055300,North Side-South Side,3023810035,3062647,"(40.71449771, -73.9610955)",11211,146006
