modzcta,BOROUGH_GROUP,modzcta_name,label,lat,lon,positive_count_7day,positivity_rate_7day,people_tested,daterange,death_count_28day,death_rate_28day,daterange,cumulative_positive_count,cumulative_death_count,cumulative_positive_rate,TOTAL_COVID_TESTS
10001,Manhattan,Chelsea/NoMad/West Chelsea,"10001, 10118",40.750693,-73.997137,42,3.13,1340,February 5-February 11,8,29,January 4-January 31,7198,56,11.81,48466
10002,Manhattan,Chinatown/Lower East Side,10002,40.715781,-73.986176,80,3.24,2467,February 5-February 11,30,39.8,January 4-January 31,18049,401,20.01,74355
10003,Manhattan,East Village/Gramercy/Greenwich Village,10003,40.731825,-73.989164,70,2.98,2350,February 5-February 11,10,18.5,January 4-January 31,12415,78,15.34,66506
10004,Manhattan,Financial District,10004,40.703675,-74.013106,1,0.37,270,February 5-February 11,0,0,January 4-January 31,908,2,9.65,7350
10005,Manhattan,Financial District,10005,40.706092,-74.008861,6,1.7,352,February 5-February 11,0,0,January 4-January 31,2137,2,13.99,10905
10006,Manhattan,Financial District,10006,40.709651,-74.013044,6,3.06,196,February 5-February 11,0,0,January 4-January 31,935,1,10.04,6753
10007,Manhattan,TriBeCa,10007,40.713923,-74.007546,2,0.61,330,February 5-February 11,0,0,January 4-January 31,1563,7,12.07,9960
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,10009,40.72638,-73.978704,54,2.69,2010,February 5-February 11,22,38.5,January 4-January 31,14010,176,19.43,57679
10010,Manhattan,Flatiron/Gramercy/Kips Bay,10010,40.739119,-73.982544,36,2.21,1630,February 5-February 11,8,24,January 4-January 31,6944,60,12.13,46537
10011,Manhattan,Chelsea,10011,40.741707,-74.000062,43,2.46,1749,February 5-February 11,15,30.2,January 4-January 31,11769,98,16.36,59144
10012,Manhattan,Greenwich Village/SoHo,10012,40.725576,-73.998078,22,2.29,959,February 5-February 11,0,0,January 4-January 31,5222,29,14.29,27927
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,10013,40.720096,-74.004763,41,3.52,1165,February 5-February 11,8,27.8,January 4-January 31,7310,61,14.77,41149
10014,Manhattan,Hudson Square/Meatpacking District/West Village,10014,40.73402,-74.006314,25,2.46,1018,February 5-February 11,0,0,January 4-January 31,6466,43,14.67,34210
10016,Manhattan,Kips Bay/Murray Hill/NoMad,10016,40.745174,-73.978319,59,3.04,1942,February 5-February 11,8,15.7,January 4-January 31,12880,91,15.46,66618
10017,Manhattan,East Midtown/Murray Hill,10017,40.752543,-73.973037,19,2.6,732,February 5-February 11,7,44.8,January 4-January 31,3920,40,11.35,28433
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,10018,40.755191,-73.992667,45,3.29,1369,February 5-February 11,0,0,January 4-January 31,3468,13,6.87,41449
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,"10019, 10020",40.76528,-73.985974,61,2.39,2550,February 5-February 11,12,27.6,January 4-January 31,11638,98,12,78715
10021,Manhattan,Lenox Hill/Upper East Side,10021,40.769474,-73.958771,34,2.43,1402,February 5-February 11,9,19.6,January 4-January 31,7481,114,13.75,44765
10022,Manhattan,East Midtown,10022,40.758676,-73.968098,33,2.74,1203,February 5-February 11,7,22.7,January 4-January 31,5924,71,11.7,41429
10023,Manhattan,Lincoln Square,10023,40.775901,-73.982658,73,2.19,3327,February 5-February 11,14,22.7,January 4-January 31,11682,124,14.4,69106
10024,Manhattan,Upper West Side,10024,40.792085,-73.974871,58,2.18,2661,February 5-February 11,10,17.1,January 4-January 31,10156,137,13.88,62174
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,10025,40.798651,-73.966585,111,2.03,5461,February 5-February 11,36,39.3,January 4-January 31,18360,392,15.18,102744
10026,Manhattan,Central Harlem (South),10026,40.802341,-73.952521,32,1.84,1739,February 5-February 11,11,28.4,January 4-January 31,8934,128,20,37425
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,10027,40.8118,-73.953204,82,2.51,3261,February 5-February 11,19,30,January 4-January 31,13558,223,17.81,63341
10028,Manhattan,Upper East Side/Yorkville,10028,40.776432,-73.953509,51,3.45,1479,February 5-February 11,13,27.4,January 4-January 31,8946,79,15.48,45915
10029,Manhattan,East Harlem,10029,40.791777,-73.943969,49,1.6,3071,February 5-February 11,32,40.9,January 4-January 31,20692,419,22.83,77307
10030,Manhattan,Central Harlem (North),10030,40.818326,-73.942842,10,0.99,1010,February 5-February 11,14,47.8,January 4-January 31,6672,125,21.57,26504
10031,Manhattan,Hamilton Heights/West Harlem,10031,40.825278,-73.950037,43,2.36,1823,February 5-February 11,14,23.7,January 4-January 31,13536,245,21.74,51126
10032,Manhattan,Washington Heights (South),10032,40.838768,-73.942824,36,1.85,1951,February 5-February 11,19,30.1,January 4-January 31,13882,303,21.49,53287
10033,Manhattan,Washington Heights (North)/Washington Heights (South),10033,40.850497,-73.934007,32,1.63,1961,February 5-February 11,10,17.1,January 4-January 31,12914,206,21.3,49415
10034,Manhattan,Inwood/Washington Heights (North),10034,40.867168,-73.924048,24,2.02,1191,February 5-February 11,11,26,January 4-January 31,9364,139,22.04,34017
10035,Manhattan,East Harlem,10035,40.791,-73.924596,25,2.03,1231,February 5-February 11,23,65.3,January 4-January 31,9212,254,21.28,34953
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,10036,40.75916,-73.989705,69,2.44,2833,February 5-February 11,13,47.7,January 4-January 31,10500,83,9.14,94648
10037,Manhattan,Central Harlem (North)/East Harlem,10037,40.812957,-73.937419,11,1.61,682,February 5-February 11,10,48.1,January 4-January 31,4989,123,21.16,20976
10038,Manhattan,Chinatown/Financial District,10038,40.709696,-74.002391,17,2.04,832,February 5-February 11,0,0,January 4-January 31,5028,68,14.95,24996
10039,Manhattan,Central Harlem (North)/Washington Heights (South),10039,40.830807,-73.936247,10,1.18,849,February 5-February 11,8,29.4,January 4-January 31,6196,123,22.32,22978
10040,Manhattan,Washington Heights (North),10040,40.85831,-73.93049,8,0.65,1236,February 5-February 11,20,45.5,January 4-January 31,10347,256,22.22,39144
10044,Manhattan,Roosevelt Island,10044,40.761931,-73.949924,11,2.49,441,February 5-February 11,0,0,January 4-January 31,2159,56,15.77,11764
10065,Manhattan,Lenox Hill/Upper East Side,10065,40.764616,-73.963135,57,3.82,1491,February 5-February 11,5,17.9,January 4-January 31,6639,54,14.93,37189
10069,Manhattan,Lincoln Square,10069,40.775924,-73.990256,12,2.78,432,February 5-February 11,0,0,January 4-January 31,1548,3,14.09,9107
10075,Manhattan,Lenox Hill/Upper East Side,"10075, 10162",40.773132,-73.955884,30,3.22,932,February 5-February 11,5,21.7,January 4-January 31,4793,87,14.35,26775
10128,Manhattan,Upper East Side/Yorkville,10128,40.781466,-73.950226,77,3.5,2200,February 5-February 11,11,18.8,January 4-January 31,11872,112,15.36,60981
10280,Manhattan,Battery Park City,10280,40.709318,-74.016654,9,2.86,315,February 5-February 11,0,0,January 4-January 31,1493,7,13.51,8312
10282,Manhattan,Battery Park City,10282,40.716409,-74.015077,2,1.16,172,February 5-February 11,0,0,January 4-January 31,925,10,12.65,6073
10301,Staten Island,Silver Lake/St. George,10301,40.628224,-74.096232,31,2.7,1149,February 5-February 11,20,51.4,January 4-January 31,11744,231,26.47,38085
10302,Staten Island,Elm Park,10302,40.630598,-74.137891,17,3.29,517,February 5-February 11,5,27,January 4-January 31,6726,72,29.75,17838
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,10303,40.632135,-74.169166,23,2.89,797,February 5-February 11,9,33.9,January 4-January 31,8971,99,28.82,25297
10304,Staten Island,New Dorp/Todt Hill,10304,40.605985,-74.0943,49,3.92,1251,February 5-February 11,19,45.4,January 4-January 31,13503,320,27.03,43077
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,10305,40.595474,-74.075437,37,3.49,1060,February 5-February 11,13,30.3,January 4-January 31,13517,179,29.21,39719
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,40.571571,-74.125541,66,4.23,1559,February 5-February 11,21,39.8,January 4-January 31,19595,306,30.12,52669
10307,Staten Island,Tottenville,10307,40.507771,-74.24227,13,3.43,379,February 5-February 11,0,0,January 4-January 31,5146,41,32.2,13287
10308,Staten Island,Great Kills,10308,40.551574,-74.150454,29,4.13,702,February 5-February 11,10,33.5,January 4-January 31,9818,98,31.66,25833
10309,Staten Island,Charleston/Prince's Bay/Woodrow,10309,40.531355,-74.220574,36,4.45,809,February 5-February 11,11,33.4,January 4-January 31,12314,99,32.54,31295
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,10310,40.632398,-74.11618,17,2.44,697,February 5-February 11,0,0,January 4-January 31,8198,80,26.65,23536
10312,Staten Island,Annadale/Rossville,10312,40.545128,-74.18169,79,5.47,1445,February 5-February 11,19,31.1,January 4-January 31,21622,194,31.46,56573
10314,Staten Island,Bloomfield/Freshkills Park,10314,40.599333,-74.166462,87,3.6,2416,February 5-February 11,38,41.1,January 4-January 31,28857,481,28.4,82563
10451,Bronx,Concourse/Melrose,10451,40.820705,-73.923865,26,1.72,1509,February 5-February 11,13,27.4,January 4-January 31,14592,277,24.21,48315
